epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
5,0.4540673904120922,0.4749172776937485,0.6745428633973525,rel-trial,rgcn-basis2,44
6,0.45161595568060875,0.48912350833415985,0.6767587417742216,rel-trial,rgcn-basis2,44
7,0.4437206449608008,0.510042816400528,0.6714245506815166,rel-trial,rgcn-basis2,44
8,0.43649839113156,0.4834839552640915,0.6697983818726853,rel-trial,rgcn-basis2,44
9,0.4287303077677886,0.4765614867210388,0.6837727116364888,rel-trial,rgcn-basis2,44
10,0.42061659569541615,0.4941321760416031,0.6736806365289338,rel-trial,rgcn-basis2,44
11,0.41982797036568326,0.5104560554027557,0.655783844638334,rel-trial,rgcn-basis2,44
12,0.40904007603724796,0.501089945435524,0.6564539691474676,rel-trial,rgcn-basis2,44
13,0.4001839856306712,0.5268760323524475,0.6615692529005223,rel-trial,rgcn-basis2,44
14,0.4024661456545194,0.5174882411956787,0.6622661823900214,rel-trial,rgcn-basis2,44
15,0.4001603511472543,0.5660686492919922,0.6664656293139266,rel-trial,rgcn-basis2,44
1,0.49741757412751514,0.50883749127388,0.6423366794883824,rel-trial,rgcn-basis4,42
2,0.4771631720165412,0.48110590875148773,0.66920420480792,rel-trial,rgcn-basis4,42
3,0.4683096917967002,0.4772360920906067,0.6818427530501834,rel-trial,rgcn-basis4,42
4,0.45567384486397106,0.4773443788290024,0.6805873864697394,rel-trial,rgcn-basis4,42
5,0.45163122316201526,0.47789013385772705,0.6752755328606723,rel-trial,rgcn-basis4,42
6,0.44661972547570866,0.47603319585323334,0.6712011758451387,rel-trial,rgcn-basis4,42
7,0.43805817266305286,0.47688131034374237,0.6725324898699512,rel-trial,rgcn-basis4,42
8,0.43368398770689964,0.5127447545528412,0.6673144536921627,rel-trial,rgcn-basis4,42
9,0.43331460282206535,0.5200519263744354,0.6668989764964997,rel-trial,rgcn-basis4,42
1,0.498749324431022,0.5006858557462692,0.6455398746420418,rel-trial,rgcn-basis4,43
2,0.47997354716062546,0.4813011437654495,0.6653710926156747,rel-trial,rgcn-basis4,43
3,0.4687577982743581,0.47910384833812714,0.6701379116239797,rel-trial,rgcn-basis4,43
4,0.4590957884987195,0.48662321269512177,0.6785591429554279,rel-trial,rgcn-basis4,43
5,0.453334574898084,0.48778311908245087,0.6693292947162917,rel-trial,rgcn-basis4,43
6,0.450517226010561,0.47608599066734314,0.6753916877755888,rel-trial,rgcn-basis4,43
7,0.4417332336306572,0.48945529758930206,0.6745205259137148,rel-trial,rgcn-basis4,43
8,0.4347246748705705,0.507311075925827,0.6715853805637088,rel-trial,rgcn-basis4,43
9,0.43276048451662064,0.4954691678285599,0.6500788513172415,rel-trial,rgcn-basis4,43
10,0.43032041067878407,0.48236149549484253,0.6737789214569401,rel-trial,rgcn-basis4,43
1,0.4943586016694705,0.49865350127220154,0.6562663342849101,rel-trial,rgcn-basis4,44
2,0.47464242701729137,0.4789179563522339,0.6786663628768892,rel-trial,rgcn-basis4,44
3,0.4646402820944786,0.47466525435447693,0.6792739424318373,rel-trial,rgcn-basis4,44
4,0.46012429520487785,0.47428886592388153,0.6857428776933421,rel-trial,rgcn-basis4,44
5,0.45231655860940617,0.47538477182388306,0.6815791707432575,rel-trial,rgcn-basis4,44
6,0.44441337635119754,0.4821190983057022,0.6762896546178281,rel-trial,rgcn-basis4,44
7,0.43607505038380623,0.47404806315898895,0.6773305813553492,rel-trial,rgcn-basis4,44
8,0.4302721830705802,0.48730912804603577,0.6702451315454411,rel-trial,rgcn-basis4,44
9,0.4265388486286004,0.47774235904216766,0.6748555881682816,rel-trial,rgcn-basis4,44
10,0.41671352709333104,0.5051161795854568,0.6737342464896645,rel-trial,rgcn-basis4,44
1,0.4913764347632726,0.4893207997083664,0.6687217151613436,rel-trial,rgcn-basis8,42
2,0.4731818462411563,0.4787518233060837,0.6827094474153299,rel-trial,rgcn-basis8,42
3,0.4635147787630558,0.47708354890346527,0.6804086866006371,rel-trial,rgcn-basis8,42
4,0.4581245568891366,0.4756854176521301,0.6850370132103878,rel-trial,rgcn-basis8,42
5,0.45050214355190593,0.4889768809080124,0.6899467921139748,rel-trial,rgcn-basis8,42
6,0.44375425452987355,0.4906373918056488,0.684751093419824,rel-trial,rgcn-basis8,42
7,0.4376823231577873,0.4723973870277405,0.6917739982755462,rel-trial,rgcn-basis8,42
8,0.43511980026960373,0.4815438985824585,0.6732115493725401,rel-trial,rgcn-basis8,42
9,0.42624105388919514,0.48641058802604675,0.6704685063818191,rel-trial,rgcn-basis8,42
10,0.4175080619752407,0.5001759827136993,0.6477468180254559,rel-trial,rgcn-basis8,42
11,0.4159390901525815,0.5153500139713287,0.6659563346869849,rel-trial,rgcn-basis8,42
12,0.4063210574289163,0.5287810266017914,0.6614486304888781,rel-trial,rgcn-basis8,42
13,0.39560215920209885,0.5198705792427063,0.6651968602433,rel-trial,rgcn-basis8,42
1,0.49606096496184665,0.4948381185531616,0.6434580211669995,rel-trial,rgcn-basis8,43
2,0.4757996238768101,0.4939876049757004,0.6692779185039246,rel-trial,rgcn-basis8,43
3,0.46350522960225743,0.47495968639850616,0.6822180227752984,rel-trial,rgcn-basis8,43
4,0.45735936363538104,0.47142551839351654,0.6829104847680699,rel-trial,rgcn-basis8,43
5,0.4518567907313506,0.4691230356693268,0.6895223799248568,rel-trial,rgcn-basis8,43
6,0.4453817792236805,0.4847491532564163,0.6783849105830531,rel-trial,rgcn-basis8,43
7,0.4399673168857892,0.48469991981983185,0.6724208024517622,rel-trial,rgcn-basis8,43
8,0.4377051927149296,0.49313850700855255,0.6861494198955499,rel-trial,rgcn-basis8,43
9,0.426569448163112,0.4811123460531235,0.6781213282761271,rel-trial,rgcn-basis8,43
10,0.4172239763041337,0.49624015390872955,0.6809224487243063,rel-trial,rgcn-basis8,43
11,0.41479163989424706,0.49792104959487915,0.6603898337644467,rel-trial,rgcn-basis8,43
1,0.49518845106164616,0.4872227609157562,0.6586073025701509,rel-trial,rgcn-basis8,44
2,0.4749739008645217,0.48779575526714325,0.6754318952461367,rel-trial,rgcn-basis8,44
3,0.46265660723050434,0.4984945058822632,0.6723359200139386,rel-trial,rgcn-basis8,44
4,0.45789508149027824,0.47469669580459595,0.6833348969571881,rel-trial,rgcn-basis8,44
5,0.44960663964351016,0.4802710860967636,0.6777773310281051,rel-trial,rgcn-basis8,44
6,0.4419914446771145,0.48416148126125336,0.6786440253932513,rel-trial,rgcn-basis8,44
7,0.4331916458904743,0.530011773109436,0.6739263488489495,rel-trial,rgcn-basis8,44
8,0.43215519562363625,0.48444733023643494,0.6729345645754314,rel-trial,rgcn-basis8,44
9,0.4202378839254379,0.4888373017311096,0.6634411340293693,rel-trial,rgcn-basis8,44
