dataset,skip,depth,seed,AUROC,AUPRC,precision,recall,cos_sim,dir_energy,params,train_s
rel-trial,False,4,44,0.6874583964367245,0.7500546784086153,0.6513761467889908,0.8859180035650623,0.5869868993759155,0.24414046108722687,6347649,91.45587635040283
rel-trial,False,6,42,0.6654649100469535,0.722899967591306,0.6085011185682326,0.9696969696969697,0.5501369833946228,0.2887936234474182,6380673,87.10338282585144
rel-trial,False,6,43,0.6712503183091418,0.7270393174053299,0.6300863131935882,0.910873440285205,0.5906911492347717,0.22891514003276825,6380673,86.99379920959473
rel-trial,False,6,44,0.6821331403374747,0.7392719860520671,0.6449934980494149,0.8841354723707665,0.5778364539146423,0.27501633763313293,6380673,105.36755108833313
rel-trial,False,8,42,0.6800468193657049,0.7392431687437838,0.6421188630490956,0.8859180035650623,0.6510670185089111,0.20368614792823792,6413697,95.1901216506958
rel-trial,False,8,43,0.6748511206715541,0.727723747322832,0.6292682926829268,0.9197860962566845,0.5919111371040344,0.18954193592071533,6413697,57.09088206291199
rel-trial,False,8,44,0.6723359200139386,0.7324077128665829,0.6165680473372781,0.928698752228164,0.604957640171051,0.21100202202796936,6413697,57.19472527503967
rel-trial,True,1,42,0.667756735868191,0.7292083051475982,0.6116838487972509,0.9518716577540107,0.367216557264328,1.281375527381897,6298113,77.45211601257324
rel-trial,True,1,43,0.6637181188264781,0.7307009059436498,0.6106094808126411,0.964349376114082,0.40204763412475586,1.113706350326538,6298113,61.14632701873779
rel-trial,True,1,44,0.6695571370493971,0.7333066161491448,0.6149425287356322,0.9536541889483066,0.39181289076805115,1.2690602540969849,6298113,82.83522987365723
rel-trial,True,2,42,0.6825441500364102,0.7495127023323269,0.6133786848072562,0.964349376114082,0.44351258873939514,0.763724684715271,6314625,65.88131880760193
rel-trial,True,2,43,0.6812843159592387,0.7476499986843264,0.6100558659217877,0.9732620320855615,0.4365018606185913,0.7713803648948669,6314625,84.49037408828735
rel-trial,True,2,44,0.6788271927590812,0.7441411799164097,0.6379746835443038,0.8983957219251337,0.43144556879997253,0.7849720120429993,6314625,81.3447048664093
rel-trial,True,3,42,0.6849253257921988,0.76077571287491,0.6205673758865248,0.9358288770053476,0.3975257873535156,0.7739050984382629,6331137,116.11743783950806
rel-trial,True,3,43,0.679743029588231,0.744264350106923,0.6198347107438017,0.9358288770053476,0.4714219272136688,0.6844784021377563,6331137,71.03980326652527
rel-trial,True,3,44,0.6750030155602911,0.7392810262047561,0.6323529411764706,0.9197860962566845,0.40509772300720215,0.8337663412094116,6331137,83.77072167396545
rel-trial,True,4,42,0.6835001943361076,0.7500570215616026,0.6168981481481481,0.9500891265597148,0.47691723704338074,0.689466655254364,6347649,97.30207800865173
rel-trial,True,4,43,0.6808777737570308,0.7417896787039175,0.6123147092360319,0.9572192513368984,0.6233124732971191,0.5063129663467407,6347649,58.68327713012695
rel-trial,True,4,44,0.6781883407270404,0.7420475793330175,0.6161026837806302,0.9411764705882353,0.47468382120132446,0.6936594247817993,6347649,103.76455235481262
rel-trial,True,6,42,0.6831964045586337,0.7549711906434622,0.605524861878453,0.9768270944741533,0.5400261282920837,0.557452380657196,6380673,105.93738055229187
rel-trial,True,6,43,0.6756329325988768,0.741236087857649,0.6154734411085451,0.9500891265597148,0.5885154008865356,0.500639796257019,6380673,79.51195168495178
rel-trial,True,6,44,0.6802344542282623,0.7343368480946348,0.6198830409356725,0.9447415329768271,0.6069457530975342,0.4500179588794708,6380673,92.69596481323242
rel-trial,True,8,42,0.6785412729685175,0.7421306951150337,0.6035437430786268,0.9714795008912656,0.7593191266059875,0.2612244188785553,6413697,74.45846033096313
rel-trial,True,8,43,0.6808420337832103,0.7432086282138798,0.6131639722863741,0.946524064171123,0.6307851076126099,0.4577291011810303,6413697,87.99087500572205
rel-trial,True,8,44,0.6837682441397612,0.7519649105467298,0.6320400500625782,0.9001782531194296,0.6691935658454895,0.32387876510620117,6413697,81.9817943572998
