epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
10,0.963312416434288,0.8370676359960011,0.866804900010762,A2,rel-stack,SAGE-hetero,42,True
1,1.06703662109375,0.7880547295014063,0.8493020646949611,A2,rel-stack,HGT-homo,42,False
2,0.9993018488883972,0.7869733988883949,0.8579216827560812,A2,rel-stack,HGT-homo,42,False
3,0.9785632845163346,0.7626769627843585,0.8571803302213157,A2,rel-stack,HGT-homo,42,False
4,0.9675480151176452,0.7600794569367454,0.8431361697771902,A2,rel-stack,HGT-homo,42,False
5,0.9641031666994094,0.7682165524789265,0.8606840875600742,A2,rel-stack,HGT-homo,42,False
6,0.966910214304924,0.7903056785109497,0.8740339740338414,A2,rel-stack,HGT-homo,42,False
7,0.9542824178934096,0.7617538122548944,0.8620278687302962,A2,rel-stack,HGT-homo,42,False
8,0.956899876832962,0.8110076664459138,0.8673384819320404,A2,rel-stack,HGT-homo,42,False
9,0.9554384291172028,0.7355925259845597,0.8682944012572341,A2,rel-stack,HGT-homo,42,True
1,1.0457942214012146,0.8466365174168632,0.8421866961311513,A2,rel-stack,HGT-hetero,42,False
2,0.99217839884758,0.8132136983885652,0.8511453076969606,A2,rel-stack,HGT-hetero,42,False
3,0.9816038072109222,0.7749482224739733,0.8633009438080108,A2,rel-stack,HGT-hetero,42,False
4,0.9706077309846878,0.8084020884264083,0.8408616902076144,A2,rel-stack,HGT-hetero,42,False
5,0.9862471990585328,0.7385104938986755,0.8487000785318877,A2,rel-stack,HGT-hetero,42,False
6,0.9814666761159896,0.7628481691437108,0.8491881255705004,A2,rel-stack,HGT-hetero,42,True
1,1.040059210459391,0.6958005625665897,0.8582133690027723,A4,rel-stack,L1,42,False
2,1.0343394557634988,0.7152867756251778,0.8536433352520229,A4,rel-stack,L1,42,False
3,0.9878551975886029,0.7376625312580949,0.8565373457604037,A4,rel-stack,L1,42,True
1,1.0431505992015202,0.7560466785161268,0.8581629047788941,A4,rel-stack,L2,42,False
2,1.0122068341573078,0.7927017227879593,0.84966470064255,A4,rel-stack,L2,42,False
3,0.9847810649871828,0.7918246868288233,0.853492377595372,A4,rel-stack,L2,42,True
1,1.045319762031237,0.8091874097784361,0.8532198717807505,A4,rel-stack,L3,42,False
2,0.99949374516805,0.8078938203730753,0.8439491282640287,A4,rel-stack,L3,42,False
3,1.0019281256198882,0.7005043288338042,0.8542235731517244,A4,rel-stack,L3,42,False
4,0.9900238054990768,0.8153810399983611,0.8600886837951505,A4,rel-stack,L3,42,False
5,0.9938907464345296,0.7894260434522515,0.8574379411229045,A4,rel-stack,L3,42,True
1,1.043693525393804,0.7212348689901686,0.8583619378057139,A4,rel-stack,L4,42,False
