epoch,train_loss,val_loss,val_AUROC,check,dataset,variant,seed,done
26,0.9065672904253006,0.6903702089829105,0.8784221640641162,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
27,0.8983923219442368,0.7455155429031167,0.8763027834938332,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
28,0.9006212445497512,0.6987752515290465,0.8782383615333162,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,True
1,1.0774148918390274,0.7612933308950492,0.8333829896722422,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
2,1.012598078250885,0.7384871799676191,0.8421344495887411,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
3,0.9879055919647217,0.791093481083711,0.8452289672032859,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
4,0.9790800315141678,0.7482256131867567,0.8541173151489712,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
5,0.9742415641546249,0.7821227862011819,0.8549739043957478,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
6,0.9811617197990418,0.7374125435238793,0.8673721595491579,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
7,0.9652117283344269,0.7657714092305729,0.8558663935647571,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
8,0.9720999411344529,0.7956862371592295,0.8620886689101805,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
9,0.9556342651844024,0.7702594404774052,0.8658776941602748,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
10,0.9545138359069825,0.7148455101109686,0.8600993329619447,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
11,0.9597717953920364,0.76565061687004,0.859417542678711,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
12,0.9439061719179154,0.7106135040521622,0.8673870519763905,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
13,0.9475578563213348,0.7742350624785537,0.8577174593790591,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
14,0.9352534329891204,0.7078179764960494,0.8698554910551797,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
15,0.9426404881477356,0.7545925967750096,0.8682648948123578,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
16,0.9394845677614212,0.7218743692196551,0.8771811135465819,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
17,0.9393032079935074,0.7627867389292944,0.867133189661059,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
18,0.924813779592514,0.6912076884791964,0.8716984183605915,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
19,0.9321820191144943,0.7748533274446215,0.8713289564064624,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
20,0.9246234623193741,0.7390372691055139,0.8671750505314648,A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,False
